Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
skin_irritation_invivo_20,In Vivo,,,Alcohol ethoxylate C16-18/E5,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,0
skin_irritation_invivo_83,In Vivo,,,C12-13 beta-branched primary alco hol sulfate,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,83.9,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_80,In Vivo,,,C12-13 beta-branched primary alco hol sulfate/1-ethoxylate,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,30.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_55,In Vivo,,,"N,N-Dimethyl-N-dodecyl amino- betaine",,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,93.8,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_48,In Vivo,,,"Bis[(1-Methylimidazol)-(2- ethyl- hexanoate)], zinc complex",,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,,,,,,0
skin_irritation_invivo_28,In Vivo,,,Alkyl polyglucoside 600,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.3,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_23,In Vivo,,,Alcohol ethoxylate C16-18/E14,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,0
skin_irritation_invivo_18,In Vivo,,,Alcohol ethoxylate C12-15/E5 phosphate,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.1,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_16,In Vivo,,,Alcohol ethoxylate C12-15/E3,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,0
skin_irritation_invivo_4,In Vivo,,,Alcohol ethoxylate C11/E3,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.1,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,1
skin_irritation_invivo_13,In Vivo,,,Alcohol ethoxylate C11/E7,,,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,,,,,0
skin_irritation_invivo_81,In Vivo,,,Polysorbate 80,9005-65-6,DTXSID0021175,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.5,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,Polysorbate 80,"9005-65-6|Polysorbate 80|(Z)-Mono-9-octadecenoate sorbitan poly(oxy-1,2-ethanediyl) derivs.|Akamuls PSMO 20|Alkamuls PSMO 20|Alkamuls T 80|Armotan pmo-20|Atlox 8916TF|Avitears|Canarcel TW 80|Capmul POE-O|Cemerol T 80|Cemesol TW 1020|Crillet 4 Super|Derives poly(oxyethyleniques) du monooleate de sorbitane|Disponil SMO 120|Drewmulse poe-smo|Ecoteric 20|Ecoteric T 80|Emalex ET 8020|Emasol O 105R|Emsorb 6900|Emulson 100M|Emulson 10OM|Ethoxylated sorbitan monooleate|Ethsorbox O 20|Ethylan GE 08|Ethylene oxide-sorbitan monooleate polymer|Eumulgin SMO 20|FEMA No. 2917|Flo Mo SMO 20|Glycols, polyethylene, ether with sorbitan monooleate|Glycosperse O 20|Glycosperse O 5|Glycosperse O-20|Glycosperse O-20 VEG|Glycosperse O-20X|Hexaethylene glycol sorbitan monooleate|Hodag SVO 9|Ionet T 80C|Ionet-T 80PA|Lamesorb SMO 20|Liposorb O 20VBE|Montanox 80|Montanox 81VG|Montanox DF 80|Myvatex MSPS|NCI-C60286|Nikkol TO|Nikkol TO 10|Nikkol TO 106|Nikkol TO 10M|Nikkol TO 10V|Nissan Nonion OT 220|Nissan Nonion OT 221|Nofable ESO 9920|Nonio-light 0-30|Nonio-li|1286269-72-4|1340-85-8|141927-23-3|178631-96-4|209796-63-4|2137448-98-5|253447-34-6|361534-35-2|37199-23-8|37280-84-5|51377-27-6|541509-66-4|61723-75-9|8050-83-7|900143-89-7|9015-07-0|9050-49-1|9050-57-1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021175,https://doi.org/10.22427/NTP-DATA-DTXSID0021175,1
skin_irritation_invivo_82,In Vivo,,,Tween 80,9005-65-6,DTXSID0021175,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.8,%,Robinson et al. 2001; 11422260; 10.1034/j.1600-0536.2001.045001001.x,,Polysorbate 80,"9005-65-6|Polysorbate 80|(Z)-Mono-9-octadecenoate sorbitan poly(oxy-1,2-ethanediyl) derivs.|Akamuls PSMO 20|Alkamuls PSMO 20|Alkamuls T 80|Armotan pmo-20|Atlox 8916TF|Avitears|Canarcel TW 80|Capmul POE-O|Cemerol T 80|Cemesol TW 1020|Crillet 4 Super|Derives poly(oxyethyleniques) du monooleate de sorbitane|Disponil SMO 120|Drewmulse poe-smo|Ecoteric 20|Ecoteric T 80|Emalex ET 8020|Emasol O 105R|Emsorb 6900|Emulson 100M|Emulson 10OM|Ethoxylated sorbitan monooleate|Ethsorbox O 20|Ethylan GE 08|Ethylene oxide-sorbitan monooleate polymer|Eumulgin SMO 20|FEMA No. 2917|Flo Mo SMO 20|Glycols, polyethylene, ether with sorbitan monooleate|Glycosperse O 20|Glycosperse O 5|Glycosperse O-20|Glycosperse O-20 VEG|Glycosperse O-20X|Hexaethylene glycol sorbitan monooleate|Hodag SVO 9|Ionet T 80C|Ionet-T 80PA|Lamesorb SMO 20|Liposorb O 20VBE|Montanox 80|Montanox 81VG|Montanox DF 80|Myvatex MSPS|NCI-C60286|Nikkol TO|Nikkol TO 10|Nikkol TO 106|Nikkol TO 10M|Nikkol TO 10V|Nissan Nonion OT 220|Nissan Nonion OT 221|Nofable ESO 9920|Nonio-light 0-30|Nonio-li|1286269-72-4|1340-85-8|141927-23-3|178631-96-4|209796-63-4|2137448-98-5|253447-34-6|361534-35-2|37199-23-8|37280-84-5|51377-27-6|541509-66-4|61723-75-9|8050-83-7|900143-89-7|9015-07-0|9050-49-1|9050-57-1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021175,https://doi.org/10.22427/NTP-DATA-DTXSID0021175,1
skin_irritation_invivo_84,In Vivo,,,"1,2-Propylene glycol",57-55-6,DTXSID0021206,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,6.25,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(O)CO,"1,2-Propylene glycol","57-55-6|1,2-Propylene glycol|(.+-.)-1,2-Propanediol|(.+-.)-Propylene glycol|(+-)-1,2-Propanediol|(+-)-Propylene glycol|(+/-) 1,2-Propanediol|(RS)-1,2-Propanediol|1,2-(RS)-Propanediol|1,2-DIHYDROXYPROPANE|1,2-PROPANDIOL|1,2-Propanediol|1,2-PROPYLENEGLYCOL|1,2-Propylenglykol|2-Hydroxypropanol|2,3-Propanediol|3-01-00-02142|a-Propylene glycol|Adeka PG|Adeka Propylene Glycol PG-P|Aliphatic alcohol|All purpose lubricant|alpha-Propylene glycol|alpha-propyleneglycol|BRN 1340498|Caswell No. 713|CH3CH(OH)CH2OH|Chilisa FE|DL-1,2-Propanediol|dl-Propylene glycol|Dowfrost|EINECS 200-338-0|EPA Pesticide Chemical Code 068603|FEMA No. 2940|General lube|Glycol|HOCH2CH(OH)CH3|HOCH2CH(OH)Me|Ilexan P|Inhibited 1,2-propylene glycol|Isopropylene glycol|MeCH(OH)CH2OH|Methyl ethylene glycol|methyl glycol|Methylethyl glycol|Methylethylene glycol|MONO PROPYLENE GLYCOL|Monopropylene glycol|NSC 69860|POLYESTER OF 1,2-PROPANEDIOL|PPD|Prolugen|Propan-1,2-diol|Propane-1,2-diol|Propanediol|propano-1,2-diol|PROPYLENE GLYCOL|Propylene glycol usp|PROPYLENE, GLYCOL|Propylen|1194046-20-2|190913-75-8|4254-16-4|63625-56-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,https://doi.org/10.22427/NTP-DATA-DTXSID0021206,1
skin_irritation_invivo_12,In Vivo,,,Heptanal,111-71-7,DTXSID0021597,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,58.6,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCCCCC=O,Heptanal,111-71-7|Heptanal|1-Heptaldehyde|1-Heptanal|Aldehyde C-7|Aldehyde C7|BRN 1560236|EINECS 203-898-4|Enanthal|Enanthaldehyde|Enanthic aldehyde|Enanthole|FEMA 2540|FEMA No. 2540|FEMA Number 2541|heptaldehyde|Heptan-1-al|Heptanaldehyde|Heptyl aldehyde|Heptylaldehyde|N-C6H13CHO|n-Heptaldehyde|N-Heptaldehyde [UN3056] [Flammable liquid]|n-Heptanal|n-Heptylaldehyde|NSC 2190|Oenanthal|OENANTHALDEHYD|Oenanthaldehyde|Oenanthic aldehyde|Oenanthol|Oenanthole|UN 3056|UNII-92N104S3HF,https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,https://doi.org/10.22427/NTP-DATA-DTXSID0021597,1
skin_irritation_invivo_33,In Vivo,,,Isopropyl tetradecanoate,110-27-0,DTXSID0026838,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,3.3,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCC(=O)OC(C)C,Isopropyl tetradecanoate,"110-27-0|Isopropyl tetradecanoate|1-Methylethyl tetradecanoate|1-Tridecanecarboxylic acid, isopropyl ester|203-751-4|Bisomel|BRN 1781127|Caswell No. 511E|Crodacol IPM|Crodamol 1PM|Crodamol I.P.M.|Crodamol IPM|D 50|D 50 (emollient)|Deltyl Extra|Deltylextra|EC No.: 203-751-4|EINECS 203-751-4|Emcol IM|Emcol-IM|Emerest 2314|EPA Pesticide Chemical Code 000207|Estergel|Estergel (TN)|Estol 1512|Estol 1514|Estol IPM 1512|Exceparl IPM|Exceparl IPML|FEMA 3556|FEMA No. 3556|IPM|IPM 100|IPM-EX|IPM-R|Iso-propyl N-tetradecanoate|Isomyst|isopropyl myristate|Isopropyl myristate-PM|Isopropyl tetradecanoic acid|Isopropylmyristat|JA-FA IPM|Kessco IPM|Kessco isopropyl myristate|Kesscomir|Kollicream IPM|Lexol IPM|Liponate IPM|Matlube IPM-S|Methylethyl tetradecanoate|miristato de isopropilo|Myristate d'isopropyle|MYRISTATE, ISOPROPYL|Myristic acid isopropyl ester|Myristic acid, isopropyl ester|MYRISTINSAEURE-ISOPROPYLESTER|Nikkol IPM|Nikkol IPM 100|Nikkol IPM-EX|NSC 406280|Pastell IP 14|Pelemol IPM|Plymoutm IPM|Promyr|Propan-2-yl tetradecanoate|Radia 7190|Radia 77|1405-98-7|852553-53-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026838,,1
skin_irritation_invivo_67,In Vivo,,,Dipropylene glycol,25265-71-8,DTXSID0027856,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|",Dipropylene glycol,"25265-71-8|Dipropylene glycol|1,1'-Oxybis(2-propanol)|4-Oxa-2,6-heptandiol|ADK DPG-RF|Caswell No. 399E|DIPROPYLENEGLYCOL|DIPROPYLENGLYKOL|Dowanol DPG|EINECS 246-770-3|EPA Pesticide Chemical Code 068604|oxidipropanol|Oxybispropanol|Oxydipropanol|Propanol, oxybis-|UNII-E107L85C40|25322-23-0|27941-90-8|27941-91-9|28678-26-4|30370-61-7|75047-14-2|78644-49-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027856,https://doi.org/10.22427/NTP-DATA-DTXSID0027856,0
skin_irritation_invivo_63,In Vivo,,,Sodium hydroxide,1310-73-2,DTXSID0029634,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,60.6,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[OH-].[Na+],Sodium hydroxide,"1310-73-2|Sodium hydroxide|Aetznatron|ANHYDROUS|ASCARITE|Caswell No. 773|CAUSTIC SODA|CAUSTIC SODA FLAKES|Caustic soda, liquid|Collo-Grillrein|Collo-Tapetta|EINECS 215-185-5|EPA Pesticide Chemical Code 075603|Fuers Rohr|hidroxido de sodio|Hydroxyde de sodium|Lewis-red devil lye|Liquid-plumr|Na(OH)|NaOH|Natrium causticum|Natrium-hydroxid, reinstes|Natriumhydroxid|Natriumhydroxyde|NATRONLAUGE 1-5%|NATRONLAUGE UEBER 5%|NSC 135799|Rohrputz|Rohrreiniger Rofix|Soda lye|Soda, caustic|Soda, hydrate|Soda, kaustische|Sodio(idrossido di)|SODIUM HYDRATE|Sodium hydroxide (Na(OH))|Sodium Hydroxide AR (1KG/BT)|Sodium hydroxide dimer|Sodium hydroxide,|Sodium(hydroxyde de)|soude caustique|StamperPrep|Tosoh Pearl|UN 1823|UN 1824|UNII-55X04QC32I|White caustic|8012-01-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029634,,1
skin_irritation_invivo_65,In Vivo,,,Sodium hydroxide,1310-73-2,DTXSID0029634,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,58.2,%,Robinson et al. 2001; 11422260; 10.1034/j.1600-0536.2001.045001001.x,[OH-].[Na+],Sodium hydroxide,"1310-73-2|Sodium hydroxide|Aetznatron|ANHYDROUS|ASCARITE|Caswell No. 773|CAUSTIC SODA|CAUSTIC SODA FLAKES|Caustic soda, liquid|Collo-Grillrein|Collo-Tapetta|EINECS 215-185-5|EPA Pesticide Chemical Code 075603|Fuers Rohr|hidroxido de sodio|Hydroxyde de sodium|Lewis-red devil lye|Liquid-plumr|Na(OH)|NaOH|Natrium causticum|Natrium-hydroxid, reinstes|Natriumhydroxid|Natriumhydroxyde|NATRONLAUGE 1-5%|NATRONLAUGE UEBER 5%|NSC 135799|Rohrputz|Rohrreiniger Rofix|Soda lye|Soda, caustic|Soda, hydrate|Soda, kaustische|Sodio(idrossido di)|SODIUM HYDRATE|Sodium hydroxide (Na(OH))|Sodium Hydroxide AR (1KG/BT)|Sodium hydroxide dimer|Sodium hydroxide,|Sodium(hydroxyde de)|soude caustique|StamperPrep|Tosoh Pearl|UN 1823|UN 1824|UNII-55X04QC32I|White caustic|8012-01-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029634,,1
skin_irritation_invivo_51,In Vivo,,,4-(Methylthio)benzaldehyde,3446-89-7,DTXSID0033047,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CSC1=CC=C(C=O)C=C1,4-(Methylthio)benzaldehyde,"3446-89-7|4-(Methylthio)benzaldehyde|Benzaldehyde, 4-(methylthio)-|EINECS 222-365-7|942039-57-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0033047,,0
skin_irritation_invivo_15,In Vivo,,,Heptyl butyrate,5870-93-9,DTXSID0042038,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCOC(=O)CCC,Heptyl butyrate,"5870-93-9|Heptyl butyrate|BRN 1760253|Butanoic acid, heptyl ester|Butyric acid, heptyl ester|EINECS 227-526-5|FEMA No. 2549|Heptyl butanoate|Heptyl butyrate|UNII-6YF38H29F1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0042038,,0
skin_irritation_invivo_27,In Vivo,,,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate",89-43-0,DTXSID0044579,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,COC(=O)C1=C(C=CC=C1)N=CCC(C)CCCC(C)(C)O,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate","89-43-0|Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate|201-908-1|Anthranilic acid, N-(7-hydroxy-3,7-dimethyloctylidene)-, methyl ester|Aurantine|Aurantiol|Aurantion|Aurantium|Benzoic acid, 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-, methyl ester|EC No.: 201-908-1|EINECS 201-908-1|Hydroxycitronellal / methyl anthranilate|Hydroxycitronellal methyl anthranilate|Hydroxycitronellylidene methyl anthranilate|Methyl 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]benzoate|Methyl N-3,7-dimethyl-7-hydroxyoctylideneanthranilate|NSC 78483|61792-01-6",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044579,,0
skin_irritation_invivo_47,In Vivo,,,Methyl hexanoate,106-70-7,DTXSID0047616,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCC(=O)OC,Methyl hexanoate,"106-70-7|Methyl hexanoate|BRN 1744683|Caproic acid methyl ester|Caproic acid, methyl ester|EINECS 203-425-1|FEMA 2708|FEMA No. 2708|Hexanoate de methyle|HEXANOATE, METHYL|hexanoato de metilo|Hexanoic acid methyl ester|Hexanoic acid, methyl ester|Hexanoic acid,methyl ester|Methyl caproate|Methyl capronate|Methyl ester of hexanoic acid|Methyl hexoate|Methyl hexylate|Methyl n-hexanoate|Methyl N-hexoate|Methylhexanoat|N-Caproic acid methyl ester|NSC 5023|UNII-246364VPJS",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047616,,0
skin_irritation_invivo_26,In Vivo,,,Coco-betaine,68424-94-2,DTXSID0050500,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,9.3,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,,Coco-betaine,"68424-94-2|Coco-betaine|Amonyl 265BA|Anon BF|betainas, coco alquildimetil|Betaine, Kokos-alkyldimethyl-|Betaines, coco alkyldimethyl|Betaines, coco alkyldimethyles|Chimexane HC|Coco alkyl betaines|Coco alkyldimethyl betaines|COCO BETAINE|COCO DIMETHYL BETAINE|Cocobetaine|Cocodimethylammonioacetate|COCODIMETHYLBETAINE (FRACTIONATED COCO-ALKYL)|Coconut betaine|Dehyton AB 30|Dehyton AB 40|Dehyton CB|Deriphat AB 45|EINECS 270-329-4|Empigen BB/AU|Genamin B 3267J|Genamin CSLB|HOE-T 1566-1|Lonzaine 12C|Mackam CB 35|Makam CB 35ULSHP|Mirataine CDMB|Nissan Anon BF|Obazoline BC|Standapol AB 45|Tego-Betain A 4080|Tego-Betain BL 158|UNII-03DH2IZ3FY|Varion CDG|Velvetex AB 45|101963-15-9|460061-71-6|53095-44-6|56833-18-2|62132-40-5|77640-81-4",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0050500,,1
skin_irritation_invivo_41,In Vivo,,,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",191044-60-7,DTXSID00889094,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(C)C1=CC=CC=C1C(C)C1=CC=CC=C1,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-","191044-60-7|Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",https://comptox.epa.gov/dashboard/chemical/details/DTXSID00889094,,0
skin_irritation_invivo_34,In Vivo,,,Benzyl salicylate,118-58-1,DTXSID1024598,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,0.0,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,Benzyl salicylate,"118-58-1|Benzyl salicylate|204-262-9|4-10-00-00157|Benzoic acid, 2-hydroxy-, phenylmethyl ester|Benzyl 2-hydroxybenzoate|Benzyl o-hydroxybenzoate|BRN 2115365|EC No.: 204-262-9|EINECS 204-262-9|FEMA No. 2151|NSC 6647|Salicyclic acid, benzyl ester|Salicylsaeurebenzylester|UNII-WAO5MNK9TU",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024598,https://doi.org/10.22427/NTP-DATA-DTXSID1024598,0
skin_irritation_invivo_88,In Vivo,,,Sodium dodecyl sulfate,151-21-3,DTXSID1026031,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,83.1,%,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Sodium dodecyl sulfate,"151-21-3|Sodium dodecyl sulfate|1-Dodecanol,hydrogen sulfate,sodium salt|Adeka Hope LS 35|Adeka Hope LS 90|Akyposal NLS|Akyposal SDS|Alscoap LN 40A|Alscoap LN 90|Alscoap LN-140|Alscoap MP 90N|Alscoap SP 40|Alscoap-LN 90P|Anticerumen|Aquarex Me|Aquarex methyl|Avirol SL 2010|Bio-Soft SDBS 60|Calfoam ES 303|Calfoam SLS 30|Carsonol SLS|Carsonol SLS Paste B|Carsonol SLS Special|Carsonol SLS-S|Caswell No. 779|Colonial SLS|Conco sulfate WA|Conco sulfate WA-1200|Conco sulfate WA-1245|Conco Sulfate WAG|Conco Sulfate WAN|Conco Sulfate WAS|Conco sulfate WN|Cycloryl 21|Cycloryl 21LS|Cycloryl 31|Cycloryl 580|Cycloryl 585N|Dehydag Sulfate GL|Dehydag sulfate GL emulsion|Dehydag sulphate GL emulsion|Dehydrag sulfate gl emulsion|Dermacide|Detergent 66|Dodecyl alcohol, hydrogen sulfate, sodium salt|DODECYL HYDROGEN SULFATE SODIUM SALT|DODECYL HYDROGENSULFATE SODIUM SALT|Dodecyl sodium sulfate|Dodecyl sulfate sodium|DODECYL SULFATE SODIUM SALT|DODECYL SULFATE, SODIUM|Dodecyl sulfate, sodium salt|Dupanol WAQ|Duponal|Duponal WAQE|Duponol|Duponol C|Duponol ME|Du|1000201-72-8|1000201-73-9|111726-87-5|121481-64-9|12738-53-3|12765-21-8|129203-37-8|1334-67-4|1335-72-4|145269-44-9|152155-52-7|156108-01-9|172826-72-1|1883428-81-6|191490-40-1|210297-21-5|2326507-32-6|237743-45-2|303179-49-9|39384-36-6|51222-39-0|57176-54-2|58640-35-0|61711-39-5|64441-33-4|74433-77-5|8012-56-4|8048-56-4|877454-24-5|952055-37-7|952092-90-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,https://doi.org/10.22427/NTP-DATA-DTXSID1026031,1
skin_irritation_invivo_59,In Vivo,,,Sodium dodecyl sulphate,151-21-3,DTXSID1026031,,,,Chemical,Human,,,,Four-hour Human Patch Test,Positive reaction,22.5,%,Robinson et al. 2001; 11422260; 10.1034/j.1600-0536.2001.045001001.x,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Sodium dodecyl sulfate,"151-21-3|Sodium dodecyl sulfate|1-Dodecanol,hydrogen sulfate,sodium salt|Adeka Hope LS 35|Adeka Hope LS 90|Akyposal NLS|Akyposal SDS|Alscoap LN 40A|Alscoap LN 90|Alscoap LN-140|Alscoap MP 90N|Alscoap SP 40|Alscoap-LN 90P|Anticerumen|Aquarex Me|Aquarex methyl|Avirol SL 2010|Bio-Soft SDBS 60|Calfoam ES 303|Calfoam SLS 30|Carsonol SLS|Carsonol SLS Paste B|Carsonol SLS Special|Carsonol SLS-S|Caswell No. 779|Colonial SLS|Conco sulfate WA|Conco sulfate WA-1200|Conco sulfate WA-1245|Conco Sulfate WAG|Conco Sulfate WAN|Conco Sulfate WAS|Conco sulfate WN|Cycloryl 21|Cycloryl 21LS|Cycloryl 31|Cycloryl 580|Cycloryl 585N|Dehydag Sulfate GL|Dehydag sulfate GL emulsion|Dehydag sulphate GL emulsion|Dehydrag sulfate gl emulsion|Dermacide|Detergent 66|Dodecyl alcohol, hydrogen sulfate, sodium salt|DODECYL HYDROGEN SULFATE SODIUM SALT|DODECYL HYDROGENSULFATE SODIUM SALT|Dodecyl sodium sulfate|Dodecyl sulfate sodium|DODECYL SULFATE SODIUM SALT|DODECYL SULFATE, SODIUM|Dodecyl sulfate, sodium salt|Dupanol WAQ|Duponal|Duponal WAQE|Duponol|Duponol C|Duponol ME|Du|1000201-72-8|1000201-73-9|111726-87-5|121481-64-9|12738-53-3|12765-21-8|129203-37-8|1334-67-4|1335-72-4|145269-44-9|152155-52-7|156108-01-9|172826-72-1|1883428-81-6|191490-40-1|210297-21-5|2326507-32-6|237743-45-2|303179-49-9|39384-36-6|51222-39-0|57176-54-2|58640-35-0|61711-39-5|64441-33-4|74433-77-5|8012-56-4|8048-56-4|877454-24-5|952055-37-7|952092-90-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,https://doi.org/10.22427/NTP-DATA-DTXSID1026031,1
